song,source,model,OPS,TPS,IPS,APS
30,other,sahtdemucs,27.5366647462342,51.1403080653568,42.0023105110449,19.9328697435701
30,vocals,htdemucs,13.3749747149325,48.7006688246335,35.5353252155574,22.2149138478539
30,vocals,sahtdemucs,13.7687508084561,50.6851731984046,31.1166653730175,14.0931529057019
31,bass,htdemucs,21.1409664404608,18.635496662821,51.382643562205,10.3612441644911
31,bass,sahtdemucs,22.6681937592733,18.1546244522571,52.1027761758792,10.0463625117292
31,drums,htdemucs,7.90377939953948,95.7566229087527,6.81113948586074,27.7991758460386
31,drums,sahtdemucs,7.82321149214556,97.161587012424,5.52469765470809,13.0365761820574
31,other,htdemucs,8.0128472955847,92.7679212219006,1.97436160155459,86.7383675214261
31,other,sahtdemucs,8.07444498801249,92.7679212219006,2.03348707147457,86.7383675214261
31,vocals,htdemucs,8.26103600427895,98.4302048882762,2.2759720773477,78.6245038668456
31,vocals,sahtdemucs,8.26046973382389,99.1674607334789,2.27500822328687,70.8801237480978
32,bass,htdemucs,21.2507858890209,46.0576476639201,45.540598368493,31.4562587050308
32,bass,sahtdemucs,22.0175063236027,50.0272335568594,45.2239002638616,35.5009410414737
32,drums,htdemucs,7.40204254942129,99.7021087288727,1.60043102312719,36.3023305038188
32,drums,sahtdemucs,7.08829643056359,99.7008416630676,1.47881224379337,36.5659670649025
